"Codigo";"Titulo";"Autor";"Editor";"Proveedor";"Tema";"COLECCION";"Cod.Barra";"ISBN";"Ubicacion";"Deposito";"Repos.";"Cant.Propio";"Cant.Terceros";"Cant.Reservados";"Cant.Total";"Ultima Venta";"Dep 1";"Dep 2";"Dep 3";"Dep 4";"Dep 5";"Dep 6";"Dep 7";"Dep 8";"Dep 9";"Dep 10";"Dep 11 Con";"PVP";"Accesorios";"Codigo Prov";""                                                                                                                                                                                              
9788437604107;"POESIA  -178-                                     ";"DE LA CRUZ, SAN JUAN";"CATEDRA             ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788437604107;"9788437604107";"                   ";"TODOS               ";               0;              1 ;              1 ;               0;              2 ;"09/10/2020";       2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2200.00;"NO DEFINIDO ";"             ";" "             
9788437600611;"POESIA  -38-                                      ";"MANRIQUE, JORGE     ";"CATEDRA             ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788437600611;"9788437600611";"                   ";"TODOS               ";               0;              1 ;              2 ;               0;              3 ;"13/06/2017";       3;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2880.00;"NO DEFINIDO ";"             ";" "             
0000002061602;"POESIA (MACHADO)               *602*              ";"MACHADO             ";"ALIANZA EDITORIAL   ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788420616025;"9788420616025";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"00/00/1900";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1440.00;"NO DEFINIDO ";"             ";" "             
9789500372367;"POESIA CHINA/L 70 ANIVERSARIO                     ";"AA.VV.              ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09789500372367;"9789500372367";"                   ";"TODOS               ";               0;             14 ;               0;               0;             14 ;"07/05/2021";      14;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   800.00;"NO DEFINIDO ";"             ";" "             
9788437630540;"POESIA COMPLETA                                   ";"PROUST              ";"CATEDRA             ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788437630540;"9788437630540";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"03/04/2021";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  3840.00;"NO DEFINIDO ";"             ";" "             
0008473396308;"POESIA COMPLETA (B) (101)                         ";"MANRIQUE, J.        ";"AKAL                ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788473396301;"8473396308   ";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"11/02/2008";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   850.00;"NO DEFINIDO ";"             ";" "             
9788437631936;"POESIA COMPLETA (BILINGUE) BRADBURY               ";"BRADBURY, R         ";"CATEDRA             ";"LOSADA S.A.         ";"LITERATURA UNIVERSAL";"ML                  ";09788437631936;"9788437631936";"                   ";"TODOS               ";               0;              9 ;               0;               0;              9 ;"16/07/2021";       9;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  6800.00;"NO DEFINIDO ";"             ";" "             
9788496375062;"POESIA COMPLETA (IBSEN)/L                         ";"IBSEN, HENRIK       ";"LOSADA ESPAÑA       ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788496375062;"9788496375062";"                   ";"TODOS               ";               0;             17 ;               0;               0;             17 ;"11/05/2018";      17;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   800.00;"NO DEFINIDO ";"             ";" "             
9789500372756;"POESIA COMPLETA - 70 ANIV.                        ";"IBSEN H             ";"LOSADA              ";"LOSADA S.A.         ";"LITERATURA UNIVERSAL";"ML                  ";09789500372756;"9789500372756";"                   ";"TODOS               ";               0;             14 ;               0;               0;             14 ;"10/10/2020";      14;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
9789500354059;"POESIA COMPLETA FEDERICO GARCIA LORCA             ";"GARCIA LORCA        ";"LOSADA ESPAÑA       ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09789500354059;"9789500354059";"                   ";"TODOS               ";               0;              6 ;               0;               0;              6 ;"23/07/2021";       6;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1800.00;"NO DEFINIDO ";"             ";" "             
